source_id,target_id,relationship,weight,label,bidirectional
company_90,sector_0,OPERATES_IN,1,operates in,0
company_91,sector_0,OPERATES_IN,1,operates in,0
company_92,sector_9,OPERATES_IN,1,operates in,0
company_93,sector_2,OPERATES_IN,1,operates in,0
company_94,sector_12,OPERATES_IN,1,operates in,0
company_95,sector_5,OPERATES_IN,1,operates in,0
company_96,sector_12,OPERATES_IN,1,operates in,0
company_97,sector_12,OPERATES_IN,1,operates in,0
company_98,sector_12,OPERATES_IN,1,operates in,0
company_99,sector_11,OPERATES_IN,1,operates in,0
company_100,sector_0,OPERATES_IN,1,operates in,0
company_101,sector_0,OPERATES_IN,1,operates in,0
company_102,sector_12,OPERATES_IN,1,operates in,0
company_103,sector_0,OPERATES_IN,1,operates in,0
company_104,sector_0,OPERATES_IN,1,operates in,0
company_105,sector_5,OPERATES_IN,1,operates in,0
company_106,sector_5,OPERATES_IN,1,operates in,0
company_107,sector_5,OPERATES_IN,1,operates in,0
company_108,sector_5,OPERATES_IN,1,operates in,0
company_109,sector_10,OPERATES_IN,1,operates in,0
company_110,sector_5,OPERATES_IN,1,operates in,0
company_111,sector_10,OPERATES_IN,1,operates in,0
company_112,sector_4,OPERATES_IN,1,operates in,0
company_113,sector_2,OPERATES_IN,1,operates in,0
company_114,sector_12,OPERATES_IN,1,operates in,0
company_115,sector_12,OPERATES_IN,1,operates in,0
company_116,sector_12,OPERATES_IN,1,operates in,0
company_117,sector_12,OPERATES_IN,1,operates in,0
company_118,sector_9,OPERATES_IN,1,operates in,0
company_119,sector_9,OPERATES_IN,1,operates in,0
company_120,sector_9,OPERATES_IN,1,operates in,0
company_121,sector_2,OPERATES_IN,1,operates in,0
company_122,sector_12,OPERATES_IN,1,operates in,0
company_123,sector_0,OPERATES_IN,1,operates in,0
company_124,sector_0,OPERATES_IN,1,operates in,0
company_125,sector_10,OPERATES_IN,1,operates in,0
company_126,sector_12,OPERATES_IN,1,operates in,0
company_127,sector_0,OPERATES_IN,1,operates in,0
company_128,sector_10,OPERATES_IN,1,operates in,0
company_129,sector_12,OPERATES_IN,1,operates in,0
company_130,sector_0,OPERATES_IN,1,operates in,0
company_131,sector_0,OPERATES_IN,1,operates in,0
company_132,sector_5,OPERATES_IN,1,operates in,0
company_133,sector_12,OPERATES_IN,1,operates in,0
company_134,sector_9,OPERATES_IN,1,operates in,0
company_135,sector_12,OPERATES_IN,1,operates in,0
company_136,sector_12,OPERATES_IN,1,operates in,0
company_137,sector_12,OPERATES_IN,1,operates in,0
company_138,sector_12,OPERATES_IN,1,operates in,0
company_139,sector_0,OPERATES_IN,1,operates in,0
company_140,sector_10,OPERATES_IN,1,operates in,0
company_141,sector_12,OPERATES_IN,1,operates in,0
company_142,sector_2,OPERATES_IN,1,operates in,0
company_143,sector_4,OPERATES_IN,1,operates in,0
company_144,sector_6,OPERATES_IN,1,operates in,0
company_145,sector_6,OPERATES_IN,1,operates in,0
company_146,sector_9,OPERATES_IN,1,operates in,0
company_147,sector_10,OPERATES_IN,1,operates in,0
company_148,sector_1,OPERATES_IN,1,operates in,0
company_149,sector_0,OPERATES_IN,1,operates in,0
company_150,sector_10,OPERATES_IN,1,operates in,0
company_151,sector_10,OPERATES_IN,1,operates in,0
company_152,sector_4,OPERATES_IN,1,operates in,0
company_153,sector_12,OPERATES_IN,1,operates in,0
company_154,sector_12,OPERATES_IN,1,operates in,0
company_155,sector_12,OPERATES_IN,1,operates in,0
company_156,sector_0,OPERATES_IN,1,operates in,0
company_157,sector_12,OPERATES_IN,1,operates in,0
company_158,sector_12,OPERATES_IN,1,operates in,0
company_159,sector_4,OPERATES_IN,1,operates in,0
company_160,sector_12,OPERATES_IN,1,operates in,0
company_161,sector_7,OPERATES_IN,1,operates in,0
company_162,sector_7,OPERATES_IN,1,operates in,0
company_163,sector_7,OPERATES_IN,1,operates in,0
company_164,sector_12,OPERATES_IN,1,operates in,0
company_165,sector_1,OPERATES_IN,1,operates in,0
company_166,sector_9,OPERATES_IN,1,operates in,0
company_167,sector_7,OPERATES_IN,1,operates in,0
company_168,sector_2,OPERATES_IN,1,operates in,0
company_169,sector_4,OPERATES_IN,1,operates in,0
company_170,sector_10,OPERATES_IN,1,operates in,0
company_171,sector_9,OPERATES_IN,1,operates in,0
company_172,sector_12,OPERATES_IN,1,operates in,0
